event	lumi	run	ele pt	tau pt	met	taudm	tauGM
54945475	24239	1	29.5407	32.4446	15.0445	0	5
55000105	24263	1	32.0406	36.4647	28.4631	10	5
55010324	24268	1	33.5923	30.5883	76.0087	10	5
55013438	24269	1	26.5657	36.0559	27.9161	10	5
55033666	24278	1	34.4036	32.8918	13.1592	11	5
55033801	24278	1	34.1028	47.7476	18.83	11	5
55039280	24280	1	50.8556	30.3064	46.7669	10	5
55078441	24298	1	38.0799	32.2511	61.1178	10	5
55143738	24327	1	29.9939	41.5243	33.2595	10	5
55143892	24327	1	26.8061	37.2248	8.70441	10	5
61069384	26941	1	40.1728	43.5667	20.0103	0	5
61071684	26942	1	26.1753	35.4996	15.4301	1	5
61072312	26942	1	39.6813	32.1289	15.4171	1	5
61229623	27011	1	47.8683	78.0123	39.3515	1	5
61226569	27010	1	30.2118	38.3258	14.6102	10	5
85521605	37727	1	31.0374	54.3572	14.3849	11	5
88879083	39209	1	40.0246	35.3806	18.4249	0	1
88885961	39212	1	31.8329	41.3799	18.7468	10	5
88886405	39212	1	29.6878	39.8393	13.8448	1	6
88890699	39214	1	46.089	36.7651	3.78016	1	5
88894505	39215	1	47.6417	47.6385	73.8179	10	5
88898682	39217	1	47.1852	42.6758	8.89568	10	1
88904393	39220	1	31.3837	30.157	12.9535	1	5
88917506	39226	1	30.2073	47.9345	26.7093	10	5
88920873	39227	1	33.7478	32.2495	16.7029	10	5
88921219	39227	1	45.5594	42.8741	30.9305	0	1
88921664	39227	1	39.0751	36.9451	5.90355	10	5
88922942	39228	1	36.3156	42.1686	23.9643	11	5
87834368	38748	1	26.3374	43.9292	29.1449	1	5
87838190	38749	1	26.0137	36.9458	19.3342	1	5
91290840	40272	1	35.8898	33.4707	65.5991	10	5
91308980	40280	1	71.8482	54.3648	12.2286	1	1
91809475	40501	1	29.6852	46.4243	36.9324	1	1
91815426	40504	1	27.4647	61.3213	85.4136	1	5
91822679	40507	1	30.1782	30.6111	16.1468	0	5
97882615	43180	1	31.0984	39.6627	10.0847	1	5
98956314	43654	1	39.229	39.6152	23.937	10	6
98191030	43316	1	66.0636	86.9217	13.8337	1	6
98376730	43398	1	52.7054	41.7387	21.6484	10	5
98379432	43400	1	34.5474	72.2409	48.2453	1	5
98506967	43456	1	46.3722	32.1184	9.87975	1	5
98508279	43456	1	29.1239	30.6338	16.3184	1	5
99480344	43885	1	37.0137	36.8525	63.8131	10	5
99482026	43886	1	86.6878	32.9047	117.608	0	5
99532173	43908	1	31.8197	38.8037	17.2664	10	5
99536694	43910	1	46.3499	42.6223	21.4809	0	1
99539856	43911	1	34.6481	38.0167	14.2621	10	5
99546107	43914	1	32.5864	37.368	5.45329	10	5
99548838	43915	1	33.8037	34.2107	58.4267	1	5
99549193	43916	1	36.2728	39.5261	47.5117	1	5
99550688	43916	1	25.5949	40.749	21.1249	11	5
99551649	43917	1	29.4502	42.2797	12.5224	10	5
99619560	43947	1	29.5738	32.406	11.9648	10	6
99620054	43947	1	31.169	38.581	17.0502	1	5
4053536	1789	1	27.3078	35.189	28.1257	1	5
4055880	1790	1	27.0926	42.935	24.528	1	5
4059704	1791	1	32.433	38.9108	49.388	10	5
21741079	9591	1	28.7757	39.6381	53.419	1	5
4086001	1803	1	29.8767	30.3451	31.9314	1	5
4089212	1804	1	30.855	35.4762	118.345	11	5
51308310	22635	1	35.9418	61.652	53.7613	11	5
51308407	22635	1	32.3416	33.3695	3.15291	0	5
51308536	22635	1	28.4513	33.2802	44.8535	10	5
51337026	22647	1	44.9095	50.8215	16.6342	1	1
51287612	22625	1	28.7323	30.7428	7.43902	10	5
51321181	22640	1	31.6071	46.7158	69.1599	1	5
64117830	28285	1	30.2989	45.2138	33.1747	1	1
