event	lumi	run	ele pt	tau pt	met	taudm	tauGM
4436039	1957	1	28.3046	34.7205	27.1974	1	5
4438116	1958	1	30.4857	44.9205	18.8951	1	5
4439801	1959	1	30.4771	38.4585	31.7213	10	5
4413207	1947	1	28.7783	51.3148	34.9411	0	5
4519381	1994	1	30.7824	32.7196	22.3013	10	5
427301	189	1	29.7956	39.6527	34.3194	1	5
12806227	5650	1	34.0985	93.3365	65.2417	1	5
12806341	5650	1	37.9495	55.4664	17.0766	11	5
15617232	6890	1	37.9313	37.0406	21.4446	1	5
16281684	7183	1	37.1994	31.0414	25.9319	0	5
17255299	7612	1	32.9256	49.9631	35.752	1	1
17255801	7613	1	65.8528	74.6606	74.1852	10	5
21209941	9357	1	29.2397	42.3953	37.8234	1	5
21210321	9357	1	25.2942	50.9587	44.995	1	5
16288238	7186	1	34.4036	46.4059	127.698	10	5
423352	187	1	26.4474	38.6471	19.6009	0	5
15516289	6845	1	31.4411	31.6257	23.2757	0	5
15510421	6843	1	50.8849	39.8243	17.7897	1	1
15511055	6843	1	37.7019	40.6195	11.9533	1	5
15537219	6855	1	37.3131	40.8871	15.7496	10	5
15537474	6855	1	45.0939	41.6107	20.4576	0	5
15548827	6860	1	28.2535	36.7467	30.7094	0	5
1645188	726	1	28.9136	38.9334	7.14505	1	5
1649067	728	1	39.6517	33.4606	8.08392	1	5
12654875	5583	1	28.9726	36.5966	46.8916	0	5
15513313	6844	1	39.3812	32.5507	42.6628	11	5
867202	383	1	30.9855	43.646	46.555	10	5
869765	384	1	25.7836	35.6556	48.5005	10	5
873828	386	1	52.3493	35.1048	47.9196	1	5
13515877	5963	1	47.1742	32.0531	175.023	11	5
824918	364	1	27.5264	39.8143	50.4111	1	5
860701	380	1	25.3531	41.3883	52.3082	1	5
15614219	6889	1	38.3614	39.9597	29.8556	1	5
9128537	4027	1	43.5858	38.1115	22.3035	10	5
17259838	7614	1	29.3879	43.0428	40.4227	1	5
9136111	4031	1	30.9599	30.0424	75.3296	1	5
9173004	4047	1	37.3498	35.8857	29.6331	1	5
9173848	4047	1	216.214	34.3548	27.1116	10	5
9176415	4049	1	32.0246	40.8721	76.7051	10	5
12668470	5589	1	39.5992	41.3458	13.1086	10	1
12669676	5590	1	47.7111	42.44	76.6469	0	1
12674321	5592	1	39.8704	49.1441	7.14743	1	1
16055569	7083	1	38.7266	31.4354	2.99443	0	5
41801463	18441	1	32.5731	31.8748	7.73171	10	5
41811942	18445	1	38.7088	38.5391	30.8585	1	5
6004977	2650	1	46.9473	34.43	55.4448	10	5
76412757	33709	1	42.5517	39.0526	40.4212	1	1
70947887	31298	1	37.306	31.6622	51.3488	11	5
70834828	31249	1	32.277	44.1512	30.8543	0	5
70835251	31249	1	34.2307	33.8472	28.9035	0	5
70837446	31250	1	40.7966	40.9681	60.4804	1	5
5998514	2647	1	33.1241	37.652	28.8801	1	5
438560	194	1	37.8629	42.1197	31.4226	1	5
440277	195	1	28.7081	33.1196	16.5141	0	5
12005634	5297	1	28.7851	33.6982	53.2401	1	5
12005686	5297	1	46.8038	35.005	17.8838	0	5
12009397	5298	1	25.4757	37.4738	19.5612	1	5
9662270	4263	1	39.1565	43.1876	37.7609	0	5
468151	207	1	32.4386	33.2594	13.526	10	5
475206	210	1	34.5849	30.7781	21.5482	1	5
481688	213	1	59.9181	44.495	26.7741	1	5
490541	217	1	25.2438	35.9764	14.4423	11	5
28483758	12566	1	30.7734	34.0838	22.7324	1	5
12090067	5334	1	34.743	30.3897	13.7883	1	5
16014287	7065	1	38.302	40.0143	52.6856	11	5
42636353	18809	1	36.0967	41.2205	89.8186	0	5
